RowID,Date,Month,Year,Location,IndicatorName,IndicatorValue
Unemployment rateJefferson County20090901,09/01/2009,September,2009,Jefferson County,Unemployment rate,10.2%
Unemployment rateJefferson County20091001,10/01/2009,October,2009,Jefferson County,Unemployment rate,10.1%
Unemployment rateJefferson County20091101,11/01/2009,November,2009,Jefferson County,Unemployment rate,10.0%
Unemployment rateJefferson County20091201,12/01/2009,December,2009,Jefferson County,Unemployment rate,10.2%
Unemployment rateJefferson County20100101,01/01/2010,January,2010,Jefferson County,Unemployment rate,10.9%
Unemployment rateJefferson County20100201,02/01/2010,February,2010,Jefferson County,Unemployment rate,11.8%
Unemployment rateJefferson County20100301,03/01/2010,March,2010,Jefferson County,Unemployment rate,10.6%
Unemployment rateJefferson County20100401,04/01/2010,April,2010,Jefferson County,Unemployment rate,9.8%
Unemployment rateJefferson County20100501,05/01/2010,May,2010,Jefferson County,Unemployment rate,9.9%
Unemployment rateJefferson County20100601,06/01/2010,June,2010,Jefferson County,Unemployment rate,9.9%
Unemployment rateJefferson County20100701,07/01/2010,July,2010,Jefferson County,Unemployment rate,9.7%
Unemployment rateJefferson County20100801,08/01/2010,August,2010,Jefferson County,Unemployment rate,9.7%
Unemployment rateJefferson County20100901,09/01/2010,September,2010,Jefferson County,Unemployment rate,9.7%
Unemployment rateJefferson County20101001,10/01/2010,October,2010,Jefferson County,Unemployment rate,9.4%
Unemployment rateJefferson County20101101,11/01/2010,November,2010,Jefferson County,Unemployment rate,9.6%
Unemployment rateJefferson County20101201,12/01/2010,December,2010,Jefferson County,Unemployment rate,9.3%
Unemployment rateJefferson County20110101,01/01/2011,January,2011,Jefferson County,Unemployment rate,10.3%
Unemployment rateJefferson County20110201,02/01/2011,February,2011,Jefferson County,Unemployment rate,10.3%
Unemployment rateJefferson County20110301,03/01/2011,March,2011,Jefferson County,Unemployment rate,9.9%
Unemployment rateJefferson County20110401,04/01/2011,April,2011,Jefferson County,Unemployment rate,9.2%
Unemployment rateJefferson County20110501,05/01/2011,May,2011,Jefferson County,Unemployment rate,9.5%
Unemployment rateJefferson County20110601,06/01/2011,June,2011,Jefferson County,Unemployment rate,9.8%
Unemployment rateJefferson County20110701,07/01/2011,July,2011,Jefferson County,Unemployment rate,9.7%
Unemployment rateJefferson County20110801,08/01/2011,August,2011,Jefferson County,Unemployment rate,9.5%
Unemployment rateJefferson County20110901,09/01/2011,September,2011,Jefferson County,Unemployment rate,9.5%
Unemployment rateJefferson County20111001,10/01/2011,October,2011,Jefferson County,Unemployment rate,8.9%
Unemployment rateJefferson County20111101,11/01/2011,November,2011,Jefferson County,Unemployment rate,8.6%
Unemployment rateJefferson County20111201,12/01/2011,December,2011,Jefferson County,Unemployment rate,8.4%
Unemployment rateJefferson County20120101,01/01/2012,January,2012,Jefferson County,Unemployment rate,8.9%
Unemployment rateJefferson County20120201,02/01/2012,February,2012,Jefferson County,Unemployment rate,9.1%
Unemployment rateJefferson County20120301,03/01/2012,March,2012,Jefferson County,Unemployment rate,8.5%
Unemployment rateJefferson County20120401,04/01/2012,April,2012,Jefferson County,Unemployment rate,7.6%
Unemployment rateJefferson County20120501,05/01/2012,May,2012,Jefferson County,Unemployment rate,8.0%
Unemployment rateJefferson County20120601,06/01/2012,June,2012,Jefferson County,Unemployment rate,8.3%
Unemployment rateJefferson County20120701,07/01/2012,July,2012,Jefferson County,Unemployment rate,8.3%
Unemployment rateJefferson County20120801,08/01/2012,August,2012,Jefferson County,Unemployment rate,8.1%
Unemployment rateJefferson County20120901,09/01/2012,September,2012,Jefferson County,Unemployment rate,7.7%
Unemployment rateJefferson County20121001,10/01/2012,October,2012,Jefferson County,Unemployment rate,7.3%
Unemployment rateJefferson County20121101,11/01/2012,November,2012,Jefferson County,Unemployment rate,7.1%
Unemployment rateJefferson County20121201,12/01/2012,December,2012,Jefferson County,Unemployment rate,7.4%
Unemployment rateJefferson County20130101,01/01/2013,January,2013,Jefferson County,Unemployment rate,8.2%
Unemployment rateJefferson County20130201,02/01/2013,February,2013,Jefferson County,Unemployment rate,8.3%
Unemployment rateJefferson County20130301,03/01/2013,March,2013,Jefferson County,Unemployment rate,8.0%
Unemployment rateJefferson County20130401,04/01/2013,April,2013,Jefferson County,Unemployment rate,7.4%
Unemployment rateJefferson County20130501,05/01/2013,May,2013,Jefferson County,Unemployment rate,7.8%
Unemployment rateJefferson County20130601,06/01/2013,June,2013,Jefferson County,Unemployment rate,8.2%
Unemployment rateJefferson County20130701,07/01/2013,July,2013,Jefferson County,Unemployment rate,8.1%
Unemployment rateJefferson County20130801,08/01/2013,August,2013,Jefferson County,Unemployment rate,7.6%
Unemployment rateJefferson County20130901,09/01/2013,September,2013,Jefferson County,Unemployment rate,7.4%
Unemployment rateJefferson County20131001,10/01/2013,October,2013,Jefferson County,Unemployment rate,7.3%
Unemployment rateJefferson County20131101,11/01/2013,November,2013,Jefferson County,Unemployment rate,6.9%
Unemployment rateJefferson County20131201,12/01/2013,December,2013,Jefferson County,Unemployment rate,6.6%
Unemployment rateJefferson County20140101,01/01/2014,January,2014,Jefferson County,Unemployment rate,7.4%
Unemployment rateJefferson County20140201,02/01/2014,February,2014,Jefferson County,Unemployment rate,7.7%
Unemployment rateJefferson County20140301,03/01/2014,March,2014,Jefferson County,Unemployment rate,7.4%
Unemployment rateJefferson County20140401,04/01/2014,April,2014,Jefferson County,Unemployment rate,6.2%
Unemployment rateJefferson County20140601,06/01/2014,June,2014,Jefferson County,Unemployment rate,6.4%
Unemployment rateJefferson County20140701,07/01/2014,July,2014,Jefferson County,Unemployment rate,6.2%
Unemployment rateJefferson County20140801,08/01/2014,August,2014,Jefferson County,Unemployment rate,5.8%
Unemployment rateJefferson County20140901,09/01/2014,September,2014,Jefferson County,Unemployment rate,5.3%
Unemployment rateJefferson County20141001,10/01/2014,October,2014,Jefferson County,Unemployment rate,4.8%
Unemployment rateJefferson County20141101,11/01/2014,November,2014,Jefferson County,Unemployment rate,4.9%
Unemployment rateJefferson County20141201,12/01/2014,December,2014,Jefferson County,Unemployment rate,4.6%
Unemployment rateJefferson County20150101,01/01/2015,January,2015,Jefferson County,Unemployment rate,5.4%
Unemployment rateJefferson County20150201,02/01/2015,February,2015,Jefferson County,Unemployment rate,4.9%
Unemployment rateJefferson County20150301,03/01/2015,March,2015,Jefferson County,Unemployment rate,4.8%
Unemployment rateJefferson County20150401,04/01/2015,April,2015,Jefferson County,Unemployment rate,4.5%
Unemployment rateJefferson County20150501,05/01/2015,May,2015,Jefferson County,Unemployment rate,4.9%
Unemployment rateJefferson County20150601,06/01/2015,June,2015,Jefferson County,Unemployment rate,4.9%
Unemployment rateMiami-Dade County20050101,01/01/2005,January,2005,Miami-Dade County,Unemployment rate,3.3%
Unemployment rateMiami-Dade County20050201,02/01/2005,February,2005,Miami-Dade County,Unemployment rate,3.3%
Unemployment rateMiami-Dade County20050301,03/01/2005,March,2005,Miami-Dade County,Unemployment rate,3.3%
Unemployment rateMiami-Dade County20050401,04/01/2005,April,2005,Miami-Dade County,Unemployment rate,3.1%
Unemployment rateMiami-Dade County20050501,05/01/2005,May,2005,Miami-Dade County,Unemployment rate,3.1%
Unemployment rateMiami-Dade County20050601,06/01/2005,June,2005,Miami-Dade County,Unemployment rate,3.3%
Unemployment rateMiami-Dade County20050701,07/01/2005,July,2005,Miami-Dade County,Unemployment rate,3.4%
Unemployment rateMiami-Dade County20050801,08/01/2005,August,2005,Miami-Dade County,Unemployment rate,3.4%
Unemployment rateMiami-Dade County20050901,09/01/2005,September,2005,Miami-Dade County,Unemployment rate,3.3%
Unemployment rateMiami-Dade County20051001,10/01/2005,October,2005,Miami-Dade County,Unemployment rate,3.0%
Unemployment rateMiami-Dade County20051101,11/01/2005,November,2005,Miami-Dade County,Unemployment rate,2.9%
Unemployment rateMiami-Dade County20051201,12/01/2005,December,2005,Miami-Dade County,Unemployment rate,2.8%
Unemployment rateMiami-Dade County20060101,01/01/2006,January,2006,Miami-Dade County,Unemployment rate,2.5%
Unemployment rateMiami-Dade County20060201,02/01/2006,February,2006,Miami-Dade County,Unemployment rate,2.6%
Unemployment rateMiami-Dade County20060301,03/01/2006,March,2006,Miami-Dade County,Unemployment rate,2.7%
Unemployment rateMiami-Dade County20060401,04/01/2006,April,2006,Miami-Dade County,Unemployment rate,2.6%
Unemployment rateMiami-Dade County20060501,05/01/2006,May,2006,Miami-Dade County,Unemployment rate,2.6%
Unemployment rateMiami-Dade County20060601,06/01/2006,June,2006,Miami-Dade County,Unemployment rate,3.0%
Unemployment rateMiami-Dade County20060701,07/01/2006,July,2006,Miami-Dade County,Unemployment rate,3.1%
Unemployment rateMiami-Dade County20060801,08/01/2006,August,2006,Miami-Dade County,Unemployment rate,3.3%
Unemployment rateMiami-Dade County20060901,09/01/2006,September,2006,Miami-Dade County,Unemployment rate,3.1%
Unemployment rateMiami-Dade County20061001,10/01/2006,October,2006,Miami-Dade County,Unemployment rate,2.8%
Unemployment rateMiami-Dade County20061101,11/01/2006,November,2006,Miami-Dade County,Unemployment rate,2.5%
Unemployment rateMiami-Dade County20061201,12/01/2006,December,2006,Miami-Dade County,Unemployment rate,2.6%
Unemployment rateMiami-Dade County20070101,01/01/2007,January,2007,Miami-Dade County,Unemployment rate,2.6%
Unemployment rateMiami-Dade County20070201,02/01/2007,February,2007,Miami-Dade County,Unemployment rate,2.5%
Unemployment rateMiami-Dade County20070301,03/01/2007,March,2007,Miami-Dade County,Unemployment rate,2.6%
Unemployment rateMiami-Dade County20070401,04/01/2007,April,2007,Miami-Dade County,Unemployment rate,2.7%
Unemployment rateMiami-Dade County20070501,05/01/2007,May,2007,Miami-Dade County,Unemployment rate,2.7%
Unemployment rateMiami-Dade County20070601,06/01/2007,June,2007,Miami-Dade County,Unemployment rate,3.2%
Unemployment rateMiami-Dade County20070701,07/01/2007,July,2007,Miami-Dade County,Unemployment rate,3.4%
Unemployment rateMiami-Dade County20070801,08/01/2007,August,2007,Miami-Dade County,Unemployment rate,3.6%
Unemployment rateMiami-Dade County20070901,09/01/2007,September,2007,Miami-Dade County,Unemployment rate,3.6%
Unemployment rateMiami-Dade County20071001,10/01/2007,October,2007,Miami-Dade County,Unemployment rate,3.5%
Unemployment rateMiami-Dade County20071101,11/01/2007,November,2007,Miami-Dade County,Unemployment rate,3.1%
Unemployment rateMiami-Dade County20071201,12/01/2007,December,2007,Miami-Dade County,Unemployment rate,3.5%
Unemployment rateMiami-Dade County20080101,01/01/2008,January,2008,Miami-Dade County,Unemployment rate,3.4%
Unemployment rateMiami-Dade County20080201,02/01/2008,February,2008,Miami-Dade County,Unemployment rate,3.5%
Unemployment rateMiami-Dade County20080301,03/01/2008,March,2008,Miami-Dade County,Unemployment rate,3.8%
Unemployment rateMiami-Dade County20080401,04/01/2008,April,2008,Miami-Dade County,Unemployment rate,3.7%
Unemployment rateMiami-Dade County20080501,05/01/2008,May,2008,Miami-Dade County,Unemployment rate,4.3%
Unemployment rateMiami-Dade County20080601,06/01/2008,June,2008,Miami-Dade County,Unemployment rate,4.9%
Unemployment rateMiami-Dade County20080701,07/01/2008,July,2008,Miami-Dade County,Unemployment rate,5.3%
Unemployment rateMiami-Dade County20080801,08/01/2008,August,2008,Miami-Dade County,Unemployment rate,5.8%
Unemployment rateMiami-Dade County20080901,09/01/2008,September,2008,Miami-Dade County,Unemployment rate,5.6%
Unemployment rateMiami-Dade County20081001,10/01/2008,October,2008,Miami-Dade County,Unemployment rate,5.7%
Unemployment rateMiami-Dade County20081101,11/01/2008,November,2008,Miami-Dade County,Unemployment rate,5.6%
Unemployment rateMiami-Dade County20081201,12/01/2008,December,2008,Miami-Dade County,Unemployment rate,6.2%
Unemployment rateMiami-Dade County20090101,01/01/2009,January,2009,Miami-Dade County,Unemployment rate,6.6%
Unemployment rateMiami-Dade County20090201,02/01/2009,February,2009,Miami-Dade County,Unemployment rate,7.2%
Unemployment rateMiami-Dade County20090301,03/01/2009,March,2009,Miami-Dade County,Unemployment rate,7.9%
Unemployment rateMiami-Dade County20090401,04/01/2009,April,2009,Miami-Dade County,Unemployment rate,7.7%
Unemployment rateMiami-Dade County20090501,05/01/2009,May,2009,Miami-Dade County,Unemployment rate,10.8%
Unemployment rateMiami-Dade County20090601,06/01/2009,June,2009,Miami-Dade County,Unemployment rate,12.1%
Unemployment rateMiami-Dade County20090701,07/01/2009,July,2009,Miami-Dade County,Unemployment rate,12.1%
Unemployment rateMiami-Dade County20090801,08/01/2009,August,2009,Miami-Dade County,Unemployment rate,12.4%
Unemployment rateMiami-Dade County20090901,09/01/2009,September,2009,Miami-Dade County,Unemployment rate,12.3%
Unemployment rateMiami-Dade County20091001,10/01/2009,October,2009,Miami-Dade County,Unemployment rate,12.1%
Unemployment rateMiami-Dade County20091101,11/01/2009,November,2009,Miami-Dade County,Unemployment rate,11.4%
Unemployment rateMiami-Dade County20091201,12/01/2009,December,2009,Miami-Dade County,Unemployment rate,11.9%
Unemployment rateMiami-Dade County20100101,01/01/2010,January,2010,Miami-Dade County,Unemployment rate,11.7%
Unemployment rateMiami-Dade County20100201,02/01/2010,February,2010,Miami-Dade County,Unemployment rate,11.5%
Unemployment rateMiami-Dade County20100301,03/01/2010,March,2010,Miami-Dade County,Unemployment rate,11.6%
Unemployment rateMiami-Dade County20100401,04/01/2010,April,2010,Miami-Dade County,Unemployment rate,11.0%
Unemployment rateMiami-Dade County20100501,05/01/2010,May,2010,Miami-Dade County,Unemployment rate,10.7%
Unemployment rateMiami-Dade County20100601,06/01/2010,June,2010,Miami-Dade County,Unemployment rate,11.2%
Unemployment rateMiami-Dade County20100701,07/01/2010,July,2010,Miami-Dade County,Unemployment rate,11.4%
Unemployment rateMiami-Dade County20100801,08/01/2010,August,2010,Miami-Dade County,Unemployment rate,11.6%
Unemployment rateMiami-Dade County20100901,09/01/2010,September,2010,Miami-Dade County,Unemployment rate,11.1%
Unemployment rateMiami-Dade County20101001,10/01/2010,October,2010,Miami-Dade County,Unemployment rate,10.8%
Unemployment rateMiami-Dade County20101101,11/01/2010,November,2010,Miami-Dade County,Unemployment rate,10.5%
Unemployment rateMiami-Dade County20101201,12/01/2010,December,2010,Miami-Dade County,Unemployment rate,10.4%
Unemployment rateMiami-Dade County20110101,01/01/2011,January,2011,Miami-Dade County,Unemployment rate,10.0%
Unemployment rateMiami-Dade County20110201,02/01/2011,February,2011,Miami-Dade County,Unemployment rate,9.8%
Unemployment rateMiami-Dade County20110301,03/01/2011,March,2011,Miami-Dade County,Unemployment rate,9.8%
Unemployment rateMiami-Dade County20110401,04/01/2011,April,2011,Miami-Dade County,Unemployment rate,9.4%
Unemployment rateMiami-Dade County20110501,05/01/2011,May,2011,Miami-Dade County,Unemployment rate,9.5%
Unemployment rateMiami-Dade County20110601,06/01/2011,June,2011,Miami-Dade County,Unemployment rate,10.0%
Unemployment rateMiami-Dade County20110701,07/01/2011,July,2011,Miami-Dade County,Unemployment rate,10.0%
Unemployment rateMiami-Dade County20110801,08/01/2011,August,2011,Miami-Dade County,Unemployment rate,9.8%
Unemployment rateMiami-Dade County20110901,09/01/2011,September,2011,Miami-Dade County,Unemployment rate,9.4%
Unemployment rateMiami-Dade County20111001,10/01/2011,October,2011,Miami-Dade County,Unemployment rate,9.0%
Unemployment rateMiami-Dade County20111101,11/01/2011,November,2011,Miami-Dade County,Unemployment rate,8.2%
Unemployment rateMiami-Dade County20111201,12/01/2011,December,2011,Miami-Dade County,Unemployment rate,8.5%
Unemployment rateMiami-Dade County20120101,01/01/2012,January,2012,Miami-Dade County,Unemployment rate,8.2%
Unemployment rateMiami-Dade County20120201,02/01/2012,February,2012,Miami-Dade County,Unemployment rate,8.2%
Unemployment rateMiami-Dade County20120301,03/01/2012,March,2012,Miami-Dade County,Unemployment rate,8.3%
Unemployment rateMiami-Dade County20120401,04/01/2012,April,2012,Miami-Dade County,Unemployment rate,8.0%
Unemployment rateMiami-Dade County20120501,05/01/2012,May,2012,Miami-Dade County,Unemployment rate,8.3%
Unemployment rateMiami-Dade County20120601,06/01/2012,June,2012,Miami-Dade County,Unemployment rate,8.9%
Unemployment rateMiami-Dade County20120701,07/01/2012,July,2012,Miami-Dade County,Unemployment rate,8.9%
Unemployment rateMiami-Dade County20120801,08/01/2012,August,2012,Miami-Dade County,Unemployment rate,9.0%
Unemployment rateMiami-Dade County20120901,09/01/2012,September,2012,Miami-Dade County,Unemployment rate,8.4%
Unemployment rateMiami-Dade County20121001,10/01/2012,October,2012,Miami-Dade County,Unemployment rate,8.2%
Unemployment rateMiami-Dade County20121101,11/01/2012,November,2012,Miami-Dade County,Unemployment rate,7.6%
Unemployment rateMiami-Dade County20121201,12/01/2012,December,2012,Miami-Dade County,Unemployment rate,8.1%
Unemployment rateMiami-Dade County20130101,01/01/2013,January,2013,Miami-Dade County,Unemployment rate,8.2%
Unemployment rateMiami-Dade County20130201,02/01/2013,February,2013,Miami-Dade County,Unemployment rate,7.8%
Unemployment rateMiami-Dade County20130301,03/01/2013,March,2013,Miami-Dade County,Unemployment rate,7.7%
Unemployment rateMiami-Dade County20130401,04/01/2013,April,2013,Miami-Dade County,Unemployment rate,7.4%
Unemployment rateMiami-Dade County20130501,05/01/2013,May,2013,Miami-Dade County,Unemployment rate,7.7%
Unemployment rateMiami-Dade County20130601,06/01/2013,June,2013,Miami-Dade County,Unemployment rate,8.0%
Unemployment rateMiami-Dade County20130701,07/01/2013,July,2013,Miami-Dade County,Unemployment rate,7.8%
Unemployment rateMiami-Dade County20130801,08/01/2013,August,2013,Miami-Dade County,Unemployment rate,8.0%
Unemployment rateMiami-Dade County20130901,09/01/2013,September,2013,Miami-Dade County,Unemployment rate,7.6%
Unemployment rateMiami-Dade County20131001,10/01/2013,October,2013,Miami-Dade County,Unemployment rate,7.4%
Unemployment rateMiami-Dade County20131101,11/01/2013,November,2013,Miami-Dade County,Unemployment rate,6.6%
Unemployment rateMiami-Dade County20131201,12/01/2013,December,2013,Miami-Dade County,Unemployment rate,6.7%
Unemployment rateMiami-Dade County20140101,01/01/2014,January,2014,Miami-Dade County,Unemployment rate,6.9%
Unemployment rateMiami-Dade County20140201,02/01/2014,February,2014,Miami-Dade County,Unemployment rate,7.1%
Unemployment rateMiami-Dade County20140301,03/01/2014,March,2014,Miami-Dade County,Unemployment rate,7.5%
Unemployment rateMiami-Dade County20140401,04/01/2014,April,2014,Miami-Dade County,Unemployment rate,6.9%
Unemployment rateMiami-Dade County20140501,05/01/2014,May,2014,Miami-Dade County,Unemployment rate,7.1%
Unemployment rateMiami-Dade County20140601,06/01/2014,June,2014,Miami-Dade County,Unemployment rate,6.9%
Unemployment rateMiami-Dade County20140701,07/01/2014,July,2014,Miami-Dade County,Unemployment rate,7.1%
Unemployment rateMiami-Dade County20140801,08/01/2014,August,2014,Miami-Dade County,Unemployment rate,7.3%
Unemployment rateMiami-Dade County20140901,09/01/2014,September,2014,Miami-Dade County,Unemployment rate,6.8%
Unemployment rateMiami-Dade County20141001,10/01/2014,October,2014,Miami-Dade County,Unemployment rate,6.3%
Unemployment rateMiami-Dade County20141101,11/01/2014,November,2014,Miami-Dade County,Unemployment rate,5.8%
Unemployment rateMiami-Dade County20141201,12/01/2014,December,2014,Miami-Dade County,Unemployment rate,5.9%
Unemployment rateMiami-Dade County20150101,01/01/2015,January,2015,Miami-Dade County,Unemployment rate,5.9%
Unemployment rateMiami-Dade County20150201,02/01/2015,February,2015,Miami-Dade County,Unemployment rate,5.5%
Unemployment rateMiami-Dade County20150301,03/01/2015,March,2015,Miami-Dade County,Unemployment rate,6.2%
Unemployment rateMiami-Dade County20150401,04/01/2015,April,2015,Miami-Dade County,Unemployment rate,6.3%
Unemployment rateMiami-Dade County20150501,05/01/2015,May,2015,Miami-Dade County,Unemployment rate,6.3%
Unemployment rateMiami-Dade County20150601,06/01/2015,June,2015,Miami-Dade County,Unemployment rate,6.5%
Unemployment rateOklahoma County20050101,01/01/2005,January,2005,Oklahoma County,Unemployment rate,5.4%
Unemployment rateOklahoma County20050201,02/01/2005,February,2005,Oklahoma County,Unemployment rate,5.0%
Unemployment rateOklahoma County20050301,03/01/2005,March,2005,Oklahoma County,Unemployment rate,5.1%
Unemployment rateOklahoma County20050401,04/01/2005,April,2005,Oklahoma County,Unemployment rate,4.3%
Unemployment rateOklahoma County20050501,05/01/2005,May,2005,Oklahoma County,Unemployment rate,4.6%
Unemployment rateOklahoma County20050601,06/01/2005,June,2005,Oklahoma County,Unemployment rate,5.4%
Unemployment rateOklahoma County20050701,07/01/2005,July,2005,Oklahoma County,Unemployment rate,4.6%
Unemployment rateOklahoma County20050801,08/01/2005,August,2005,Oklahoma County,Unemployment rate,4.5%
Unemployment rateOklahoma County20050901,09/01/2005,September,2005,Oklahoma County,Unemployment rate,4.2%
Unemployment rateOklahoma County20051001,10/01/2005,October,2005,Oklahoma County,Unemployment rate,4.2%
Unemployment rateOklahoma County20051101,11/01/2005,November,2005,Oklahoma County,Unemployment rate,4.1%
Unemployment rateOklahoma County20051201,12/01/2005,December,2005,Oklahoma County,Unemployment rate,4.2%
Unemployment rateOklahoma County20060101,01/01/2006,January,2006,Oklahoma County,Unemployment rate,4.5%
Unemployment rateOklahoma County20060201,02/01/2006,February,2006,Oklahoma County,Unemployment rate,4.5%
Unemployment rateOklahoma County20060301,03/01/2006,March,2006,Oklahoma County,Unemployment rate,4.3%
Unemployment rateOklahoma County20060401,04/01/2006,April,2006,Oklahoma County,Unemployment rate,3.9%
Unemployment rateOklahoma County20060501,05/01/2006,May,2006,Oklahoma County,Unemployment rate,4.3%
Unemployment rateOklahoma County20060601,06/01/2006,June,2006,Oklahoma County,Unemployment rate,4.5%
Unemployment rateOklahoma County20060701,07/01/2006,July,2006,Oklahoma County,Unemployment rate,4.1%
Unemployment rateOklahoma County20060801,08/01/2006,August,2006,Oklahoma County,Unemployment rate,4.1%
Unemployment rateOklahoma County20060901,09/01/2006,September,2006,Oklahoma County,Unemployment rate,4.1%
Unemployment rateOklahoma County20061001,10/01/2006,October,2006,Oklahoma County,Unemployment rate,4.1%
Unemployment rateOklahoma County20061101,11/01/2006,November,2006,Oklahoma County,Unemployment rate,4.1%
Unemployment rateOklahoma County20061201,12/01/2006,December,2006,Oklahoma County,Unemployment rate,4.1%
Unemployment rateOklahoma County20070101,01/01/2007,January,2007,Oklahoma County,Unemployment rate,4.8%
Unemployment rateOklahoma County20070201,02/01/2007,February,2007,Oklahoma County,Unemployment rate,5.0%
Unemployment rateOklahoma County20070301,03/01/2007,March,2007,Oklahoma County,Unemployment rate,4.6%
Unemployment rateOklahoma County20070401,04/01/2007,April,2007,Oklahoma County,Unemployment rate,4.3%
Unemployment rateOklahoma County20070501,05/01/2007,May,2007,Oklahoma County,Unemployment rate,4.7%
Unemployment rateOklahoma County20070601,06/01/2007,June,2007,Oklahoma County,Unemployment rate,4.9%
Unemployment rateOklahoma County20070801,08/01/2007,August,2007,Oklahoma County,Unemployment rate,4.2%
Unemployment rateOklahoma County20070901,09/01/2007,September,2007,Oklahoma County,Unemployment rate,4.2%
Unemployment rateOklahoma County20071001,10/01/2007,October,2007,Oklahoma County,Unemployment rate,4.1%
Unemployment rateOklahoma County20071101,11/01/2007,November,2007,Oklahoma County,Unemployment rate,3.9%
Unemployment rateOklahoma County20071201,12/01/2007,December,2007,Oklahoma County,Unemployment rate,3.8%
Unemployment rateOklahoma County20080101,01/01/2008,January,2008,Oklahoma County,Unemployment rate,4.0%
Unemployment rateOklahoma County20080201,02/01/2008,February,2008,Oklahoma County,Unemployment rate,3.7%
Unemployment rateOklahoma County20080301,03/01/2008,March,2008,Oklahoma County,Unemployment rate,3.5%
Unemployment rateOklahoma County20080401,04/01/2008,April,2008,Oklahoma County,Unemployment rate,3.0%
Unemployment rateOklahoma County20080501,05/01/2008,May,2008,Oklahoma County,Unemployment rate,3.7%
Unemployment rateOklahoma County20080601,06/01/2008,June,2008,Oklahoma County,Unemployment rate,4.2%
Unemployment rateOklahoma County20080701,07/01/2008,July,2008,Oklahoma County,Unemployment rate,3.9%
Unemployment rateOklahoma County20080801,08/01/2008,August,2008,Oklahoma County,Unemployment rate,4.0%
Unemployment rateOklahoma County20080901,09/01/2008,September,2008,Oklahoma County,Unemployment rate,3.9%
Unemployment rateOklahoma County20081001,10/01/2008,October,2008,Oklahoma County,Unemployment rate,4.3%
Unemployment rateOklahoma County20081101,11/01/2008,November,2008,Oklahoma County,Unemployment rate,4.3%
Unemployment rateOklahoma County20081201,12/01/2008,December,2008,Oklahoma County,Unemployment rate,4.5%
Unemployment rateOklahoma County20090101,01/01/2009,January,2009,Oklahoma County,Unemployment rate,5.4%
Unemployment rateOklahoma County20090201,02/01/2009,February,2009,Oklahoma County,Unemployment rate,5.7%
Unemployment rateOklahoma County20090301,03/01/2009,March,2009,Oklahoma County,Unemployment rate,5.8%
Unemployment rateOklahoma County20090401,04/01/2009,April,2009,Oklahoma County,Unemployment rate,5.3%
Unemployment rateOklahoma County20090501,05/01/2009,May,2009,Oklahoma County,Unemployment rate,6.1%
Unemployment rateOklahoma County20090601,06/01/2009,June,2009,Oklahoma County,Unemployment rate,6.4%
Unemployment rateOklahoma County20090701,07/01/2009,July,2009,Oklahoma County,Unemployment rate,6.1%
Unemployment rateOklahoma County20090801,08/01/2009,August,2009,Oklahoma County,Unemployment rate,6.4%
Unemployment rateOklahoma County20090901,09/01/2009,September,2009,Oklahoma County,Unemployment rate,6.5%
Unemployment rateOklahoma County20091001,10/01/2009,October,2009,Oklahoma County,Unemployment rate,6.7%
Unemployment rateOklahoma County20091101,11/01/2009,November,2009,Oklahoma County,Unemployment rate,6.4%
Unemployment rateOklahoma County20091201,12/01/2009,December,2009,Oklahoma County,Unemployment rate,6.5%
Unemployment rateOklahoma County20100101,01/01/2010,January,2010,Oklahoma County,Unemployment rate,6.8%
Unemployment rateOklahoma County20100201,02/01/2010,February,2010,Oklahoma County,Unemployment rate,6.9%
Unemployment rateOklahoma County20100301,03/01/2010,March,2010,Oklahoma County,Unemployment rate,6.2%
Unemployment rateOklahoma County20100401,04/01/2010,April,2010,Oklahoma County,Unemployment rate,5.9%
Unemployment rateOklahoma County20100501,05/01/2010,May,2010,Oklahoma County,Unemployment rate,6.3%
Unemployment rateOklahoma County20100601,06/01/2010,June,2010,Oklahoma County,Unemployment rate,6.5%
Unemployment rateOklahoma County20100701,07/01/2010,July,2010,Oklahoma County,Unemployment rate,6.0%
Unemployment rateOklahoma County20100801,08/01/2010,August,2010,Oklahoma County,Unemployment rate,6.0%
Unemployment rateOklahoma County20100901,09/01/2010,September,2010,Oklahoma County,Unemployment rate,5.9%
Unemployment rateOklahoma County20101001,10/01/2010,October,2010,Oklahoma County,Unemployment rate,5.9%
Unemployment rateOklahoma County20101101,11/01/2010,November,2010,Oklahoma County,Unemployment rate,5.8%
Unemployment rateOklahoma County20101201,12/01/2010,December,2010,Oklahoma County,Unemployment rate,5.6%
Unemployment rateOklahoma County20110101,01/01/2011,January,2011,Oklahoma County,Unemployment rate,5.9%
Unemployment rateOklahoma County20110201,02/01/2011,February,2011,Oklahoma County,Unemployment rate,5.7%
Unemployment rateOklahoma County20110301,03/01/2011,March,2011,Oklahoma County,Unemployment rate,5.2%
Unemployment rateOklahoma County20110401,04/01/2011,April,2011,Oklahoma County,Unemployment rate,4.7%
Unemployment rateOklahoma County20110501,05/01/2011,May,2011,Oklahoma County,Unemployment rate,5.2%
Unemployment rateOklahoma County20110601,06/01/2011,June,2011,Oklahoma County,Unemployment rate,5.7%
Unemployment rateOklahoma County20110701,07/01/2011,July,2011,Oklahoma County,Unemployment rate,5.4%
Unemployment rateOklahoma County20110801,08/01/2011,August,2011,Oklahoma County,Unemployment rate,5.3%
